,id,first_reviewer_discarded,second_reviewer_discarded
629,1429,TRUE,TRUE
630,1433,TRUE,TRUE
631,1434,TRUE,TRUE
632,1437,TRUE,TRUE
633,1441,TRUE,TRUE
634,1448,TRUE,TRUE
635,1450,TRUE,TRUE
636,1451,TRUE,TRUE
637,1458,TRUE,TRUE
638,1459,TRUE,TRUE
639,1465,TRUE,TRUE
640,1467,TRUE,TRUE
641,1485,TRUE,TRUE
642,1487,TRUE,TRUE
643,1491,TRUE,TRUE
644,1492,TRUE,TRUE
645,2,FALSE,FALSE
646,5,FALSE,FALSE
647,9,FALSE,FALSE
648,10,FALSE,FALSE
649,11,FALSE,FALSE
650,13,FALSE,FALSE
651,14,FALSE,FALSE
652,15,FALSE,FALSE
653,18,FALSE,FALSE
654,19,FALSE,FALSE
655,20,FALSE,FALSE
656,26,FALSE,FALSE
657,27,FALSE,FALSE
658,28,FALSE,FALSE
659,29,FALSE,FALSE
660,30,FALSE,FALSE
661,31,FALSE,FALSE
662,32,FALSE,FALSE
663,33,FALSE,FALSE
664,35,FALSE,FALSE
665,36,FALSE,FALSE
666,37,FALSE,FALSE
667,38,FALSE,FALSE
668,39,FALSE,FALSE
669,40,FALSE,FALSE
670,41,FALSE,FALSE
671,43,FALSE,FALSE
672,44,FALSE,FALSE
673,47,FALSE,FALSE
674,48,FALSE,FALSE
675,49,FALSE,FALSE
676,50,FALSE,FALSE
677,51,FALSE,FALSE
678,52,FALSE,FALSE
679,53,FALSE,FALSE
680,54,FALSE,FALSE
681,55,FALSE,FALSE
682,56,FALSE,FALSE
683,57,FALSE,FALSE
684,59,FALSE,FALSE
685,60,FALSE,FALSE
686,61,FALSE,FALSE
687,62,FALSE,FALSE
688,63,FALSE,FALSE
689,64,FALSE,FALSE
690,65,FALSE,FALSE
691,66,FALSE,FALSE
692,68,FALSE,FALSE
693,70,FALSE,FALSE
694,72,FALSE,FALSE
695,73,FALSE,FALSE
696,74,FALSE,FALSE
697,75,FALSE,FALSE
698,76,FALSE,FALSE
699,77,FALSE,FALSE
700,80,FALSE,FALSE
701,83,FALSE,FALSE
702,84,FALSE,FALSE
703,85,FALSE,FALSE
704,86,FALSE,FALSE
705,87,FALSE,FALSE
706,88,FALSE,FALSE
707,90,FALSE,FALSE
708,91,FALSE,FALSE
709,92,FALSE,FALSE
710,93,FALSE,FALSE
711,94,FALSE,FALSE
712,97,FALSE,FALSE
713,99,FALSE,FALSE
714,100,FALSE,FALSE
715,101,FALSE,FALSE
716,103,FALSE,FALSE
717,104,FALSE,FALSE
718,105,FALSE,FALSE
719,108,FALSE,FALSE
720,111,FALSE,FALSE
721,112,FALSE,FALSE
722,113,FALSE,FALSE
723,114,FALSE,FALSE
724,115,FALSE,FALSE
725,116,FALSE,FALSE
726,117,FALSE,FALSE
727,118,FALSE,FALSE
728,120,FALSE,FALSE
729,121,FALSE,FALSE
730,122,FALSE,FALSE
731,123,FALSE,FALSE
732,124,FALSE,FALSE
733,125,FALSE,FALSE
734,126,FALSE,FALSE
735,129,FALSE,FALSE
736,130,FALSE,FALSE
737,133,FALSE,FALSE
738,134,FALSE,FALSE
739,135,FALSE,FALSE
740,137,FALSE,FALSE
741,138,FALSE,FALSE
742,139,FALSE,FALSE
743,140,FALSE,FALSE
744,142,FALSE,FALSE
745,143,FALSE,FALSE
746,144,FALSE,FALSE
747,145,FALSE,FALSE
748,146,FALSE,FALSE
749,147,FALSE,FALSE
750,149,FALSE,FALSE
751,160,FALSE,FALSE
752,163,FALSE,FALSE
753,164,FALSE,FALSE
754,166,FALSE,FALSE
755,167,FALSE,FALSE
756,168,FALSE,FALSE
757,169,FALSE,FALSE
758,170,FALSE,FALSE
759,172,FALSE,FALSE
760,177,FALSE,FALSE
761,184,FALSE,FALSE
762,190,FALSE,FALSE
763,195,FALSE,FALSE
764,200,FALSE,FALSE
765,201,FALSE,FALSE
766,202,FALSE,FALSE
767,203,FALSE,FALSE
768,207,FALSE,FALSE
769,208,FALSE,FALSE
770,209,FALSE,FALSE
771,217,FALSE,FALSE
772,223,FALSE,FALSE
773,224,FALSE,FALSE
774,225,FALSE,FALSE
775,226,FALSE,FALSE
776,227,FALSE,FALSE
777,228,FALSE,FALSE
778,229,FALSE,FALSE
779,230,FALSE,FALSE
780,231,FALSE,FALSE
781,232,FALSE,FALSE
782,234,FALSE,FALSE
783,235,FALSE,FALSE
784,236,FALSE,FALSE
785,237,FALSE,FALSE
786,238,FALSE,FALSE
787,241,FALSE,FALSE
788,242,FALSE,FALSE
789,243,FALSE,FALSE
790,245,FALSE,FALSE
791,246,FALSE,FALSE
792,248,FALSE,FALSE
793,250,FALSE,FALSE
794,251,FALSE,FALSE
795,252,FALSE,FALSE
796,253,FALSE,FALSE
797,255,FALSE,FALSE
798,256,FALSE,FALSE
799,261,FALSE,FALSE
800,262,FALSE,FALSE
801,263,FALSE,FALSE
802,265,FALSE,FALSE
803,272,FALSE,FALSE
804,274,FALSE,FALSE
805,276,FALSE,FALSE
806,278,FALSE,FALSE
807,279,FALSE,FALSE
808,280,FALSE,FALSE
809,282,FALSE,FALSE
810,283,FALSE,FALSE
811,284,FALSE,FALSE
812,285,FALSE,FALSE
813,286,FALSE,FALSE
814,287,FALSE,FALSE
815,289,FALSE,FALSE
816,290,FALSE,FALSE
817,293,FALSE,FALSE
818,295,FALSE,FALSE
819,299,FALSE,FALSE
820,300,FALSE,FALSE
821,301,FALSE,FALSE
822,302,FALSE,FALSE
823,303,FALSE,FALSE
824,304,FALSE,FALSE
825,307,FALSE,FALSE
826,309,FALSE,FALSE
827,310,FALSE,FALSE
828,316,FALSE,FALSE
829,318,FALSE,FALSE
830,319,FALSE,FALSE
831,321,FALSE,FALSE
832,322,FALSE,FALSE
833,323,FALSE,FALSE
834,324,FALSE,FALSE
835,326,FALSE,FALSE
836,328,FALSE,FALSE
837,329,FALSE,FALSE
838,330,FALSE,FALSE
839,332,FALSE,FALSE
840,335,FALSE,FALSE
841,336,FALSE,FALSE
842,337,FALSE,FALSE
843,340,FALSE,FALSE
844,342,FALSE,FALSE
845,344,FALSE,FALSE
846,345,FALSE,FALSE
847,346,FALSE,FALSE
848,350,FALSE,FALSE
849,352,FALSE,FALSE
850,355,FALSE,FALSE
851,364,FALSE,FALSE
852,365,FALSE,FALSE
853,375,FALSE,FALSE
854,376,FALSE,FALSE
855,378,FALSE,FALSE
